"model","fracpos_hop2","null_hop2","p_hop2","fracpos_hop3","null_hop3","p_hop3"
"global",0.5304,0.5345,0.811594202898551,0.4955,0.5127,0.0419790104947526
"context",0.5416,0.509,0.0839580209895052,0.4914,0.4999,0.0779610194902549
