"","Tumor","CD8","CD4conv","Bcell","Treg","Macrophage","Endo","CAF","NK"
"Tumor",0.1843,5.6024,2.907,0.978,5.341,2.7202,0.114,0.1081,3.2477
"CD8",1.0411,10.0742,5.9388,2.787,9.8296,8.1647,0.5193,2.5852,7.2031
"CD4conv",0.7042,8.671,4.8037,2.615,7.6165,7.609,0.4473,0.8327,6.437
"Bcell",0.8972,10.4713,5.1305,3.1526,7.8055,9.3521,0.8414,0.6712,8.1634
"Treg",0.7961,10.6613,5.5619,2.9695,8.2723,8.6819,0.6575,0.8196,7.3945
"Macrophage",1.9621,21.4579,9.6142,5.9024,13.6925,17.7755,2.1134,1.5287,16.1196
"Endo",1.5189,19.5587,8.4675,4.024,14.207,12.0942,1.6226,1.2193,13.5823
"CAF",0.5121,8.8783,4.5073,1.3603,8.5635,3.8155,0.2102,0.3714,5.2644
"NK",1.5117,11.7945,6.8156,2.9923,11.7204,8.926,0.7628,4.0649,8.6032
