"cell","positive","negative","net","total"
"Endo",0.02848,0.01149,0.01699,0.03996
"CAF",0.02947,0.01306,0.01641,0.04253
"Tumor",0.02578,0.00949,0.01629,0.03526
"Macrophage",0.10007,0.08446,0.01562,0.18453
"CD4conv",0.07046,0.05501,0.01544,0.12547
"Treg",0.10269,0.08805,0.01464,0.19075
"Bcell",0.03555,0.0214,0.01415,0.05695
"CD8",0.11133,0.0992,0.01213,0.21053
"NK",0.06122,0.05279,0.00843,0.11402
