"","Tumor","CD8","CD4conv","Bcell","Treg","Macrophage","Endo","CAF","NK"
"Tumor",0.1086,4.6604,2.4424,0.202,4.3071,3.6783,0.0805,0.0733,0.7838
"CD8",3.7823,15.2872,9.2481,4.5996,14.4587,22.0533,7.0716,5.6541,5.677
"CD4conv",1.0573,9.1708,5.0498,1.3475,8.5025,9.797,1.8462,1.4806,2.2724
"Bcell",0.3224,8.3021,5.2715,0.5288,8.3303,6.4561,0.3405,0.2948,1.3819
"Treg",0.7562,8.5561,4.9633,0.9712,8.1659,8.3717,1.2617,1.0088,1.811
"Macrophage",0.337,12.1789,10.5407,0.9468,15.3928,5.545,0.2042,0.2865,2.9599
"Endo",0.1374,5.5711,2.9275,0.3177,5.184,4.1709,0.0812,0.0957,1.1029
"CAF",0.0583,4.8809,2.5302,0.2475,4.8038,3.0504,0.0066,0.0411,1.2428
"NK",1.0478,13.2973,7.1385,1.3566,12.2619,12.9345,1.7323,1.3838,2.7667
