"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Bcell->CD4conv->NK->Tumor","-,-,+",3,1,4.99325525767775e-05,"Bcell-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-+>Tumor[LR7/LR8/LR10/LR11/LR12]"
"Macrophage->CD8->CD8->Tumor","+,-,-",3,1,4.98601094146451e-05,"Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->CD8->Treg->Tumor","-,-,+",3,1,4.95833041033532e-05,"CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-+>Tumor[LR7/LR8/LR10/LR11/LR12]"
"CAF->CD4conv->CD4conv->Tumor","-,+,-",3,1,4.94195847314971e-05,"CAF-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Endo->CD8->Macrophage->Tumor","+,-,-",3,1,4.94038557290327e-05,"Endo-+>CD8[LR8/LR9/LR11/LR12] | CD8-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"Endo->Bcell->Macrophage->Tumor","-,+,-",3,1,4.93703861442315e-05,"Endo-->Bcell[LR1/LR2/LR3/LR5/LR6] | Bcell-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-->Tumor[LR1/LR2/LR3/LR5/LR6]"
"Treg->CAF->CD8->Tumor","-,-,+",3,1,4.92208048988406e-05,"Treg-->CAF[LR1/LR4/LR5/LR6] | CAF-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>Tumor[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Macrophage->CD8->Tumor","-,+,-",3,1,4.87656399273499e-05,"Tumor-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->NK->CD4conv->Tumor","-,+,-",3,1,4.87649610191421e-05,"Tumor-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-+>CD4conv[LR7/LR8/LR10/LR11/LR12] | CD4conv-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Endo->CD4conv->CD4conv->Tumor","-,+,-",3,1,4.87477854912703e-05,"Endo-->CD4conv[LR1/LR2/LR3/LR5/LR6] | CD4conv-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->NK->CD8->Tumor","-,+,-",3,1,4.85389900897212e-05,"CD8-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"NK->CD4conv->CD4conv->Tumor","-,-,+",3,1,4.83639517787702e-05,"NK-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-->CD4conv[LR1/LR2/LR3/LR4/LR5/LR6] | CD4conv-+>Tumor[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Macrophage->CD4conv->Tumor","-,+,-",3,1,4.83633643809117e-05,"Tumor-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12] | CD4conv-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Bcell->NK->Tumor","+,-,-",3,1,4.83431857244324e-05,"CD8-+>Bcell[LR7/LR8/LR9/LR10/LR11/LR12] | Bcell-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Macrophage->Bcell->Tumor","+,-,-",3,1,4.81899718439228e-05,"Tumor-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-->Bcell[LR1/LR2/LR3/LR5/LR6] | Bcell-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->Bcell->Tumor","+,-,-",3,1,4.815760705116e-05,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-->Bcell[LR1/LR2/LR3/LR4/LR5/LR6] | Bcell-->Tumor[LR1/LR2/LR3/LR4/LR5/LR6]"
