"sender","receiver","lr_pair","score","sign","sender_name","receiver_name"
1,1,1,0.0130151864912661,-1,"Tumor","Tumor"
1,2,1,0.00432645734835001,-1,"Tumor","CD8"
1,3,1,0.00422269179298053,-1,"Tumor","CD4conv"
1,4,1,0.00347046821898922,-1,"Tumor","Bcell"
1,5,1,0.00532221029816826,-1,"Tumor","Treg"
1,6,1,0.0128491402314603,-1,"Tumor","Macrophage"
1,7,1,0.00186096888176149,-1,"Tumor","Endo"
1,8,1,0.0114994517724275,-1,"Tumor","CAF"
1,9,1,0.0171952733992045,-1,"Tumor","NK"
2,1,1,0.158039348996592,-1,"CD8","Tumor"
2,2,1,0.0525348217832751,-1,"CD8","CD8"
2,3,1,0.0512748290179109,-1,"CD8","CD4conv"
2,4,1,0.0421408128427871,-1,"CD8","Bcell"
2,5,1,0.0646259391911058,-1,"CD8","Treg"
2,6,1,0.156023101068016,-1,"CD8","Macrophage"
2,7,1,0.0225971645334365,-1,"CD8","Endo"
2,8,1,0.139634255195014,-1,"CD8","CAF"
2,9,1,0.208796840187598,-1,"CD8","NK"
3,1,1,0.170928890253451,-1,"CD4conv","Tumor"
3,2,1,0.056819512634614,-1,"CD4conv","CD8"
3,3,1,0.0554567560396363,-1,"CD4conv","CD4conv"
3,4,1,0.0455777780617871,-1,"CD4conv","Bcell"
3,5,1,0.0698967702515715,-1,"CD4conv","Treg"
3,6,1,0.168748199032591,-1,"CD4conv","Macrophage"
3,7,1,0.0244401681043259,-1,"CD4conv","Endo"
3,8,1,0.151022694242847,-1,"CD4conv","CAF"
3,9,1,0.225826114877649,-1,"CD4conv","NK"
4,1,1,0.150444707083074,-1,"Bcell","Tumor"
4,2,1,0.0500102406459339,-1,"Bcell","CD8"
4,3,1,0.0488107973192211,-1,"Bcell","CD4conv"
4,4,1,0.0401157198167936,-1,"Bcell","Bcell"
4,5,1,0.0615203147399963,-1,"Bcell","Treg"
4,6,1,0.148525350726905,-1,"Bcell","Macrophage"
4,7,1,0.021511249070092,-1,"Bcell","Endo"
4,8,1,0.132924077167833,-1,"Bcell","CAF"
4,9,1,0.198763027444336,-1,"Bcell","NK"
5,1,1,0.116055705817898,-1,"Treg","Tumor"
5,2,1,0.0385787834535244,-1,"Treg","CD8"
5,3,1,0.0376535116738176,-1,"Treg","CD4conv"
5,4,1,0.0309459752223801,-1,"Treg","Bcell"
5,5,1,0.0474578580245234,-1,"Treg","Treg"
5,6,1,0.114575080404415,-1,"Treg","Macrophage"
5,7,1,0.0165941576959274,-1,"Treg","Endo"
5,8,1,0.102539982263299,-1,"Treg","CAF"
5,9,1,0.153329312062917,-1,"Treg","NK"
6,1,1,0.235682808777775,-1,"Macrophage","Tumor"
6,2,1,0.0783447567655389,-1,"Macrophage","CD8"
6,3,1,0.0764657396988012,-1,"Macrophage","CD4conv"
6,4,1,0.0628442549151527,-1,"Macrophage","Bcell"
6,5,1,0.0963761428097883,-1,"Macrophage","Treg"
6,6,1,0.232675994474779,-1,"Macrophage","Macrophage"
6,7,1,0.0336989695380781,-1,"Macrophage","Endo"
6,8,1,0.208235440571596,-1,"Macrophage","CAF"
6,9,1,0.31137704674042,-1,"Macrophage","NK"
7,1,1,0.189336278938349,-1,"Endo","Tumor"
7,2,1,0.0629384247295851,-1,"Endo","CD8"
7,3,1,0.0614289124264912,-1,"Endo","CD4conv"
7,4,1,0.0504860640451181,-1,"Endo","Bcell"
7,5,1,0.0774239765414617,-1,"Endo","Treg"
7,6,1,0.186920748359177,-1,"Endo","Macrophage"
7,7,1,0.0270721378851717,-1,"Endo","Endo"
7,8,1,0.16728637810019,-1,"Endo","CAF"
7,9,1,0.250145403826344,-1,"Endo","NK"
8,1,1,0.259323936010603,-1,"CAF","Tumor"
8,2,1,0.086203447742298,-1,"CAF","CD8"
8,3,1,0.0841359481902328,-1,"CAF","CD4conv"
8,4,1,0.0691481047122855,-1,"CAF","Bcell"
8,5,1,0.106043545647489,-1,"CAF","Treg"
8,6,1,0.256015510911847,-1,"CAF","Macrophage"
8,7,1,0.0370792823856567,-1,"CAF","Endo"
8,8,1,0.229123347375096,-1,"CAF","CAF"
8,9,1,0.342610993830357,-1,"CAF","NK"
9,1,1,0.263866534310437,-1,"NK","Tumor"
9,2,1,0.0877134804881297,-1,"NK","CD8"
9,3,1,0.085609764379681,-1,"NK","CD4conv"
9,4,1,0.0703593776388614,-1,"NK","Bcell"
9,5,1,0.107901118988297,-1,"NK","Treg"
9,6,1,0.260500155262424,-1,"NK","Macrophage"
9,7,1,0.0377288031654016,-1,"NK","Endo"
9,8,1,0.233136919528326,-1,"NK","CAF"
9,9,1,0.348612538238562,-1,"NK","NK"
1,1,2,0.0565657169001494,-1,"Tumor","Tumor"
1,2,2,1.84173363079872,-1,"Tumor","CD8"
1,3,2,1.22713887347448,-1,"Tumor","CD4conv"
1,4,2,0.728042852777363,-1,"Tumor","Bcell"
1,5,2,1.98146788576616,-1,"Tumor","Treg"
1,6,2,2.04685881123774,-1,"Tumor","Macrophage"
1,9,2,1.42659033221563,-1,"Tumor","NK"
2,1,2,0.13810129723313,-1,"CD8","Tumor"
2,2,2,4.49646565993605,-1,"CD8","CD8"
2,3,2,2.99597494028365,-1,"CD8","CD4conv"
2,4,2,1.77746642170811,-1,"CD8","Bcell"
2,5,2,4.83761720784224,-1,"CD8","Treg"
2,6,2,4.99726464324629,-1,"CD8","Macrophage"
2,9,2,3.482921923309,-1,"CD8","NK"
3,1,2,0.137519891675379,-1,"CD4conv","Tumor"
3,2,2,4.4775355689282,-1,"CD4conv","CD8"
3,3,2,2.9833619053878,-1,"CD4conv","CD4conv"
3,4,2,1.76998329970273,-1,"CD4conv","Bcell"
3,5,2,4.81725087104987,-1,"CD4conv","Treg"
3,6,2,4.97622619179544,-1,"CD4conv","Macrophage"
3,9,2,3.46825884480071,-1,"CD4conv","NK"
4,1,2,0.123090314262455,-1,"Bcell","Tumor"
4,2,2,4.00772029112472,-1,"Bcell","CD8"
4,3,2,2.67032608896801,-1,"Bcell","CD4conv"
4,4,2,1.58426390499194,-1,"Bcell","Bcell"
4,5,2,4.31179021721679,-1,"Bcell","Treg"
4,6,2,4.45408470241562,-1,"Bcell","Macrophage"
4,9,2,3.10434414941071,-1,"Bcell","NK"
5,1,2,0.13557341242814,-1,"Treg","Tumor"
5,2,2,4.41415979137693,-1,"Treg","CD8"
5,3,2,2.94113490851415,-1,"Treg","CD4conv"
5,4,2,1.74493066390686,-1,"Treg","Bcell"
5,5,2,4.74906670703542,-1,"Treg","Treg"
5,6,2,4.90579186484904,-1,"Treg","Macrophage"
5,9,2,3.41916853660447,-1,"Treg","NK"
6,1,2,0.153970989562267,-1,"Macrophage","Tumor"
6,2,2,5.01316990545267,-1,"Macrophage","CD8"
6,3,2,3.340252665987,-1,"Macrophage","CD4conv"
6,4,2,1.98172116661656,-1,"Macrophage","Bcell"
6,5,2,5.39352434436241,-1,"Macrophage","Treg"
6,6,2,5.571517412514,-1,"Macrophage","Macrophage"
6,9,2,3.88315639204111,-1,"Macrophage","NK"
7,1,2,0.072269925086631,-1,"Endo","Tumor"
7,2,2,2.35304984753054,-1,"Endo","CD8"
7,3,2,1.56782657971862,-1,"Endo","CD4conv"
7,4,2,0.930167693674861,-1,"Endo","Bcell"
7,5,2,2.53157819812777,-1,"Endo","Treg"
7,6,2,2.61512345387903,-1,"Endo","Macrophage"
7,9,2,1.82265128223387,-1,"Endo","NK"
8,1,2,0.0697238381434268,-1,"CAF","Tumor"
8,2,2,2.27015133218927,-1,"CAF","CD8"
8,3,2,1.51259167005122,-1,"CAF","CD4conv"
8,4,2,0.897397660815176,-1,"CAF","Bcell"
8,5,2,2.4423900858082,-1,"CAF","Treg"
8,6,2,2.52299202198939,-1,"CAF","Macrophage"
8,9,2,1.75843883665368,-1,"CAF","NK"
9,1,2,0.116362366939691,-1,"NK","Tumor"
9,2,2,3.7886638108109,-1,"NK","CD8"
9,3,2,2.52436973676576,-1,"NK","CD4conv"
9,4,2,1.49767021838055,-1,"NK","Bcell"
9,5,2,4.07611369285285,-1,"NK","Treg"
9,6,2,4.21063055715215,-1,"NK","Macrophage"
9,9,2,2.93466496681938,-1,"NK","NK"
1,1,3,0.00638056968725856,-1,"Tumor","Tumor"
1,2,3,0.476148764570764,-1,"Tumor","CD8"
1,3,3,0.236985814215139,-1,"Tumor","CD4conv"
1,4,3,0.00824263600640289,-1,"Tumor","Bcell"
1,5,3,0.209724845279045,-1,"Tumor","Treg"
1,6,3,0.00406591885997473,-1,"Tumor","Macrophage"
1,7,3,0.00584901324351374,-1,"Tumor","Endo"
