"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Tumor->CD8->Treg->CD8","+,+,+",3,1,0.00138283658728232,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
"Tumor->CD8->Treg->Macrophage","+,+,+",3,1,0.00135302903328608,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Macrophage[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->CD8->CD8","+,+,+",3,1,0.00135121774004948,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Treg->Macrophage->CD8","-,-,+",3,1,0.00132927702086018,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->CD8->Treg->Treg","+,+,+",3,1,0.00131977451104931,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Treg[LR7/LR8/LR10/LR11/LR12]"
"Tumor->Treg->CD8->Treg","+,+,+",3,1,0.00127798952482285,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->Macrophage->Treg->CD8","+,-,-",3,1,0.00126386359540169,"Tumor-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-->Treg[LR1/LR2/LR3/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->CD8->CD4conv","-,-,+",3,1,0.00126306192637046,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>CD4conv[LR7/LR8/LR9/LR10/LR11/LR12]"
"Tumor->NK->Treg->CD8","-,+,-",3,1,0.00124618807006917,"Tumor-->NK[LR1/LR2/LR3/LR4/LR5/LR6] | NK-+>Treg[LR7/LR8/LR10/LR11/LR12] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->CD8->Treg","-,+,-",3,1,0.00121292946913205,"Tumor-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->Treg->Treg->CD8","+,+,+",3,1,0.00120155571107723,"Tumor-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12] | Treg-+>Treg[LR7/LR8/LR10/LR11/LR12] | Treg-+>CD8[LR7/LR8/LR10/LR11/LR12]"
