"edge","polarity","lr_name","score","share","rank","sender_name","receiver_name","sign"
"Bcell->Endo","neg","FASLG_FAS",0.000403731539818548,0.000479838664614108,4,"Bcell","Endo",-1
"Bcell->Endo","pos","IFNG_IFNGR1",0.24100749190184,0.707773179927831,1,"Bcell","Endo",1
"Bcell->Endo","pos","IL12A_IL12RB1",0.0689447225292339,0.202471819936753,2,"Bcell","Endo",1
"Bcell->Endo","pos","CD86_CD28",0.021785823265814,0.0639790128037641,3,"Bcell","Endo",1
"Bcell->Endo","pos","CD80_CD28",0.00871918014805947,0.0256058507188197,4,"Bcell","Endo",1
"Bcell->Endo","pos","CXCL9_CXCR3",5.79340945690524e-05,0.000170136612832262,5,"Bcell","Endo",1
"Bcell->Macrophage","neg","LGALS9_HAVCR2",4.7324603443529,0.506029927109483,1,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","IL10_IL10RA",4.45408470241562,0.476263928971396,2,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","TGFB1_TGFBR1",0.148525350726905,0.0158814373356409,3,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","PVR_TIGIT",0.0121363643897395,0.00129771052278173,4,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","FASLG_FAS",0.00323388595883666,0.000345791186181457,5,"Bcell","Macrophage",-1
"Bcell->Macrophage","neg","CD274_PDCD1",0.00169465250356897,0.000181204874517372,6,"Bcell","Macrophage",-1
"Bcell->Macrophage","pos","CCL5_CCR5",5.648644711417,0.87493557299553,1,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","IFNG_IFNGR1",0.387099572787635,0.0599590173973453,2,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","CD86_CD28",0.22430238078283,0.0347428705611149,3,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","IL12A_IL12RB1",0.106215084341912,0.0164519739560938,4,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","CD80_CD28",0.0897708955875463,0.0139048840884716,5,"Bcell","Macrophage",1
"Bcell->Macrophage","pos","CXCL9_CXCR3",3.66769391462054e-05,5.68100144495677e-06,6,"Bcell","Macrophage",1
"Bcell->NK","neg","LGALS9_HAVCR2",4.48206807936507,0.549043997882689,1,"Bcell","NK",-1
"Bcell->NK","neg","IL10_IL10RA",3.10434414941071,0.380275688011781,2,"Bcell","NK",-1
"Bcell->NK","neg","PVR_TIGIT",0.36595560785712,0.0448287992122435,3,"Bcell","NK",-1
"Bcell->NK","neg","TGFB1_TGFBR1",0.198763027444336,0.0243480565861383,4,"Bcell","NK",-1
"Bcell->NK","neg","CD274_PDCD1",0.00775423116394761,0.000949877155673066,5,"Bcell","NK",-1
"Bcell->NK","neg","FASLG_FAS",0.00451910669806985,0.000553581151475547,6,"Bcell","NK",-1
"Bcell->NK","pos","CCL5_CCR5",1.0396219804136,0.752326752309958,1,"Bcell","NK",1
"Bcell->NK","pos","IL12A_IL12RB1",0.159917101878676,0.115724673161817,2,"Bcell","NK",1
"Bcell->NK","pos","IFNG_IFNGR1",0.123091319425551,0.0890755431547637,3,"Bcell","NK",1
