"edge","polarity","lr_name","score","share"
"Treg->NK","neg","IL10_IL10RA",3.41916853660447,0.462393625412889
"NK->NK","neg","LGALS9_HAVCR2",3.37226077750404,0.39197760148493
"CAF->Macrophage","pos","CCL5_CCR5",3.04621208126691,0.998621919807975
"CD8->CD4conv","neg","IL10_IL10RA",2.99597494028365,0.504475297682645
"CD4conv->CD4conv","neg","IL10_IL10RA",2.9833619053878,0.621050002989119
"Treg->CD4conv","neg","IL10_IL10RA",2.94113490851415,0.528801674425422
"Endo->Bcell","neg","LGALS9_HAVCR2",2.93601969306352,0.729633783715622
"Tumor->Treg","neg","PVR_TIGIT",2.81106885500762,0.526314792523668
"Bcell->CD4conv","neg","IL10_IL10RA",2.67032608896801,0.520484991502834
"Endo->CD4conv","pos","CCL5_CCR5",2.58612554551347,0.883399397771023
"Tumor->CD8","neg","PVR_TIGIT",2.56983809892825,0.458705629689935
"NK->CD4conv","neg","IL10_IL10RA",2.52436973676576,0.370379621202958
"CAF->Macrophage","neg","IL10_IL10RA",2.52299202198939,0.661247108162252
"Tumor->CD4conv","pos","CCL5_CCR5",2.26091104387297,0.925702080037891
"CAF->NK","neg","PVR_TIGIT",2.23137978168206,0.423859440881952
"CAF->CD4conv","neg","PVR_TIGIT",2.19404791024651,0.486779359976964
"CD8->CAF","neg","FASLG_FAS",2.17091556393898,0.83974101371042
"Macrophage->Endo","neg","LGALS9_HAVCR2",2.06139814949871,0.975414845866491
"Tumor->Macrophage","neg","IL10_IL10RA",2.04685881123774,0.752474928017705
"CAF->CD4conv","pos","CCL5_CCR5",1.94690846393839,0.769455685175774
"Macrophage->NK","pos","CXCL9_CXCR3",1.90765570578349,0.644494807864992
"NK->NK","pos","CCL5_CCR5",1.85955430807382,0.672127615014423
"CD4conv->Endo","pos","IFNG_IFNGR1",1.82418516661284,0.988057714877698
"CD8->Bcell","neg","IL10_IL10RA",1.77746642170811,0.637766755434232
"CD4conv->Bcell","neg","IL10_IL10RA",1.76998329970273,0.676866986337028
"Treg->Bcell","neg","IL10_IL10RA",1.74493066390686,0.587620974523207
"NK->Endo","pos","IFNG_IFNGR1",1.72659328252372,0.9966880964795
"Endo->Endo","neg","LGALS9_HAVCR2",1.58737255431003,0.978307068777373
"Bcell->Bcell","neg","IL10_IL10RA",1.58426390499194,0.502523511446127
"Macrophage->Tumor","neg","LGALS9_HAVCR2",1.53988108730229,0.784827261748168
"NK->Bcell","neg","IL10_IL10RA",1.49767021838055,0.500507362237498
"CD4conv->CAF","pos","IFNG_IFNGR1",1.45552203197274,0.983038947220368
"Tumor->NK","neg","IL10_IL10RA",1.42659033221563,0.439262021342097
"NK->CAF","pos","IFNG_IFNGR1",1.37765321688025,0.995580791545351
"Macrophage->CAF","neg","LGALS9_HAVCR2",1.31212974269277,0.858306799010014
"CD4conv->NK","pos","CCL5_CCR5",1.25078936702652,0.550420766951638
"Treg->Endo","pos","IFNG_IFNGR1",1.24693404506546,0.98828979259713
"Tumor->CD4conv","neg","IL10_IL10RA",1.22713887347448,0.422132856752139
"Endo->Tumor","neg","LGALS9_HAVCR2",1.18578013445833,0.780675852093953
"Treg->NK","pos","CCL5_CCR5",1.1442550318125,0.631851599175022
"CD4conv->Bcell","pos","IFNG_IFNGR1",1.08242069069251,0.803264443981791
"Bcell->NK","pos","CCL5_CCR5",1.0396219804136,0.752326752309958
"NK->Bcell","pos","IFNG_IFNGR1",1.02451238373162,0.755213239529054
"Endo->CAF","neg","LGALS9_HAVCR2",1.01040099495135,0.828665491077255
"Treg->CAF","pos","IFNG_IFNGR1",0.99493187875202,0.98621193595292
"CD4conv->Tumor","pos","IFNG_IFNGR1",0.924833900748964,0.874713776288776
"CAF->Bcell","neg","IL10_IL10RA",0.897397660815176,0.659687682811306
"NK->Tumor","pos","IFNG_IFNGR1",0.875356312346483,0.835383933149227
"Bcell->Endo","neg","LGALS9_HAVCR2",0.817037361812563,0.971056452037842
"Endo->NK","pos","CCL5_CCR5",0.744724087571157,0.675248934593509
"Treg->Bcell","pos","IFNG_IFNGR1",0.73989594642627,0.761829550765566
"Tumor->Bcell","neg","IL10_IL10RA",0.728042852777363,0.74439912889146
"CAF->NK","pos","CXCL9_CXCR3",0.682137190487395,0.548877191153701
"NK->Tumor","neg","FASLG_FAS",0.653703404126192,0.432441993110292
"Tumor->NK","pos","CCL5_CCR5",0.651072380128223,0.83070958871172
"Treg->Tumor","pos","IFNG_IFNGR1",0.632176435803313,0.836017305304872
"NK->Endo","neg","LGALS9_HAVCR2",0.614730298649589,0.805850812517899
"Treg->Endo","neg","LGALS9_HAVCR2",0.61450213823692,0.934653973041997
"Bcell->Tumor","neg","LGALS9_HAVCR2",0.610333516298382,0.680247349260944
"Bcell->CAF","neg","LGALS9_HAVCR2",0.520064027216769,0.774778440371733
"Treg->Tumor","neg","LGALS9_HAVCR2",0.459038066473458,0.576618950851981
"Macrophage->Bcell","pos","CXCL9_CXCR3",0.426923778897059,0.450928897331297
"CD8->Endo","neg","LGALS9_HAVCR2",0.421886290464721,0.812347182022507
"CD4conv->CAF","neg","FASLG_FAS",0.418845457931949,0.503012903877728
"CD8->Tumor","neg","FASLG_FAS",0.41379101838371,0.397462745279221
"CD4conv->Endo","neg","LGALS9_HAVCR2",0.404401447577003,0.90413968683011
"Treg->CAF","neg","LGALS9_HAVCR2",0.391145462474118,0.47725415107395
"CD4conv->Tumor","neg","LGALS9_HAVCR2",0.302091151557952,0.429010992542675
"CAF->Tumor","neg","TGFB1_TGFBR1",0.259323936010603,0.506410625888638
"Bcell->Endo","pos","IFNG_IFNGR1",0.24100749190184,0.707773179927831
"CAF->CAF","neg","TGFB1_TGFBR1",0.229123347375096,0.616971074277346
"Bcell->CAF","pos","IFNG_IFNGR1",0.192300497095354,0.65224850939181
"Macrophage->Tumor","pos","CD86_CD28",0.1870429621565,0.555031101032783
"Bcell->Bcell","pos","CCL5_CCR5",0.175917111067831,0.332700582041515
"CAF->Endo","neg","LGALS9_HAVCR2",0.165056101884433,0.785290839009261
"CAF->Bcell","pos","CXCL9_CXCR3",0.152658881896875,0.616734282346009
"Endo->Bcell","pos","IL12A_IL12RB1",0.15252574614826,0.480109893553289
"Bcell->Tumor","pos","IFNG_IFNGR1",0.122187101904337,0.379024230452284
"Macrophage->Endo","pos","CD86_CD28",0.117849535584169,0.577187836390532
"Macrophage->CAF","pos","CXCL9_CXCR3",0.114975377430972,0.401294945822063
"Tumor->Bcell","pos","CCL5_CCR5",0.110169633160937,0.545328821117641
"Tumor->Endo","neg","LGALS9_HAVCR2",0.105963295905625,0.929281760989477
"Endo->CAF","pos","IL12A_IL12RB1",0.0851326441278802,0.889548989902724
"Endo->Endo","pos","IL12A_IL12RB1",0.0794428199344433,0.977844278141646
"Tumor->Tumor","neg","LGALS9_HAVCR2",0.0791554389204087,0.429396052770798
"Endo->Tumor","pos","IL12A_IL12RB1",0.0695134367161644,0.50577750116953
"Tumor->CAF","neg","LGALS9_HAVCR2",0.0674481987991192,0.623763140700622
"Tumor->Tumor","pos","CCL5_CCR5",0.0572173472712413,0.526839547525264
"Tumor->Endo","pos","IFNG_IFNGR1",0.0553625064091847,0.687775572786789
"CAF->Tumor","pos","CCL5_CCR5",0.0492708184996335,0.844824568425413
"Tumor->CAF","pos","IFNG_IFNGR1",0.0441738861266067,0.602811776107544
"CAF->CAF","pos","CXCL9_CXCR3",0.041112754622449,1
"CAF->Endo","pos","CXCL9_CXCR3",0.0066401007843318,1
