"path_name","signs","hop","net_sign","contribution","lr_annotation"
"Macrophage->Macrophage->NK","-,-",2,1,0.0149249275847804,"Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->NK[LR1/LR2/LR3/LR5/LR6]"
"Endo->CD8->Treg","-,-",2,1,0.0147461115410675,"Endo-->CD8[LR1/LR2/LR3/LR5/LR6] | CD8-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD4conv->Macrophage->CD8","-,-",2,1,0.0146818222969516,"CD4conv-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->CD8[LR1/LR2/LR3/LR5/LR6]"
"Endo->Macrophage->NK","-,-",2,1,0.0146742782599503,"Endo-->Macrophage[LR1/LR2/LR3/LR5/LR6] | Macrophage-->NK[LR1/LR2/LR3/LR5/LR6]"
"Tumor->Treg->Treg","-,-",2,1,0.0144095960535026,"Tumor-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6]"
"CD8->Macrophage->CD8","+,+",2,1,0.0142557954577161,"CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Macrophage->CD8->Macrophage","+,+",2,1,0.0142557954577161,"Macrophage-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12]"
"Bcell->Macrophage->NK","-,-",2,1,0.0140002666087653,"Bcell-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->NK[LR1/LR2/LR3/LR5/LR6]"
"Tumor->CD8->CD8","+,+",2,1,0.0139575873335866,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"NK->Treg->CD8","-,-",2,1,0.0137681752755816,"NK-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Treg->Macrophage->Macrophage","-,-",2,1,0.0136360025290238,"Treg-->Macrophage[LR1/LR2/LR3/LR4/LR5/LR6] | Macrophage-->Macrophage[LR1/LR2/LR3/LR5/LR6]"
"CD4conv->Macrophage->Treg","+,+",2,1,0.0135606195975761,"CD4conv-+>Macrophage[LR7/LR8/LR9/LR10/LR11/LR12] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"NK->CD8->CD8","+,+",2,1,0.0134547765828748,"NK-+>CD8[LR7/LR8/LR10/LR11/LR12] | CD8-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12]"
"Endo->Treg->NK","-,-",2,1,0.0134138165038393,"Endo-->Treg[LR1/LR2/LR3/LR5/LR6] | Treg-->NK[LR1/LR2/LR3/LR4/LR5/LR6]"
"Treg->Treg->CD8","-,-",2,1,0.0132190545599222,"Treg-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"Tumor->CD8->Treg","+,+",2,1,0.0132011665295857,"Tumor-+>CD8[LR7/LR8/LR9/LR10/LR11/LR12] | CD8-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
"Bcell->Treg->CD8","-,-",2,1,0.0131097007829253,"Bcell-->Treg[LR1/LR2/LR3/LR4/LR5/LR6] | Treg-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"CAF->CD8->CD8","-,-",2,1,0.0130655942181036,"CAF-->CD8[LR1/LR2/LR3/LR4/LR5/LR6] | CD8-->CD8[LR1/LR2/LR3/LR4/LR5/LR6]"
"NK->Macrophage->Treg","+,+",2,1,0.0129323887833151,"NK-+>Macrophage[LR7/LR8/LR10/LR11/LR12] | Macrophage-+>Treg[LR7/LR8/LR9/LR10/LR11/LR12]"
