"cell","net_global","p_global","net_context","p_context","q_global","q_context"
"Macrophage",0.0066,0.0119940029985007,0.0068,0.00699650174912544,0.0629685157421289,0.04047976011994
"NK",0.0053,0.0139930034982509,0.0055,0.00899550224887556,0.0629685157421289,0.04047976011994
"Bcell",0.0124,0.0219890054972514,0.0124,0.0179910044977511,0.0659670164917541,0.0539730134932534
"Endo",0.015,0.0649675162418791,0.015,0.0519740129935032,0.146176911544228,0.116941529235382
"Tumor",0.0154,0.114942528735632,0.0154,0.0909545227386307,0.185907046476762,0.163718140929535
"CAF",0.0163,0.189905047476262,0.0163,0.166916541729135,0.23488255872064,0.250374812593703
"CD8",0.013,0.123938030984508,0.0122,0.865567216391804,0.185907046476762,0.891554222888556
"CD4conv",0.0155,0.233883058470765,0.0147,0.891554222888556,0.23488255872064,0.891554222888556
"Treg",0.0157,0.23488255872064,0.0146,0.888555722138931,0.23488255872064,0.891554222888556
