"","Tumor","CD8","CD4conv","Bcell","Treg","Macrophage","Endo","CAF","NK"
"Tumor",9.0975,49.8418,18.7052,20.5257,26.5974,54.7667,12.2207,7.9643,64.1592
"CD8",14.7426,47.885,24.0522,29.6807,34.0593,74.0848,19.6761,14.0234,85.0963
"CD4conv",13.5491,43.2286,21.1258,26.6825,29.4894,66.0507,18.6625,11.8686,79.4947
"Bcell",16.2543,45.6975,22.8557,26.4107,32.3272,65.0305,21.2659,12.301,78.1844
"Treg",14.029,52.3543,24.6982,30.165,34.3495,77.3143,19.5476,12.3509,85.7087
"Macrophage",14.9791,83.6684,45.0907,44.7546,60.3938,87.4953,23.6759,15.4099,101.2253
"Endo",17.6984,79.4446,42.0153,43.6378,50.9583,86.3277,25.2199,15.9153,107.1652
"CAF",13.6287,85.8429,63.3203,63.3371,62.6908,83.0265,15.903,12.3365,97.8591
"NK",19.7702,51.5173,27.3671,32.4165,38.5304,75.0215,25.7487,17.7704,88.9758
