"","Tumor","CD8","CD4conv","Bcell","Treg","Macrophage","Endo","CAF","NK"
"Tumor",2.4401,34.7014,21.5384,2.4656,29.1509,6.0872,4.8778,4.6097,20.5949
"CD8",16.9535,51.8188,30.8657,20.6381,46.2583,48.2847,20.4589,17.6018,26.4516
"CD4conv",8.6929,31.9578,17.7802,12.2469,27.2231,22.6377,11.977,11.3517,19.8108
"Bcell",4.7328,26.0347,13.8758,3.7439,21.7474,11.4946,6.1815,5.5052,16.3817
"Treg",7.2864,40.872,24.0925,7.5917,33.7608,17.5146,9.5885,9.5853,23.1641
"Macrophage",8.1855,63.441,38.3824,8.2049,64.5014,21.6606,16.8677,18.6027,37.1392
"Endo",5.0317,34.2721,29.7602,15.0512,31.7083,8.1045,6.0233,16.1559,24.4123
"CAF",9.2988,34.1998,27.334,17.2067,29.9588,6.8573,10.0894,9.2439,25.6445
"NK",8.9796,54.8487,30.7709,7.1807,47.2045,36.2123,10.6595,10.5507,23.3076
