"cell","positive","negative","net","total"
"CAF",0.03558,0.0193,0.01628,0.05488
"Treg",0.07458,0.05892,0.01567,0.1335
"CD4conv",0.05778,0.04224,0.01554,0.10002
"Tumor",0.0339,0.01848,0.01542,0.05237
"Endo",0.04012,0.02516,0.01496,0.06528
"CD8",0.08991,0.07686,0.01305,0.16677
"Bcell",0.04687,0.03449,0.01238,0.08136
"Macrophage",0.08493,0.07831,0.00662,0.16325
"NK",0.09393,0.08865,0.00529,0.18258
