"model","fracpos_hop2","null_hop2","p_hop2","fracpos_hop3","null_hop3","p_hop3"
"global",0.5493,0.5301,0.460769615192404,0.4852,0.5103,0.00599700149925037
"context",0.559,0.509,0.031984007996002,0.4807,0.5007,0.00999500249875063
